round,team_id,home_rk,home_gp,home_w,home_d,home_l,home_gf,home_ga,home_p
1,43,16,0,0,0,0,0,0,0
1,56,1,1,1,0,0,3,0,3
1,6,2,1,1,0,0,3,0,3
1,14,3,1,1,0,0,4,2,3
1,17,4,1,1,0,0,3,1,3
1,3,9,0,0,0,0,0,0,0
1,2,5,1,1,0,0,1,0,3
1,36,6,1,0,1,0,1,1,1
1,54,15,0,0,0,0,0,0,0
1,7,7,1,0,1,0,0,0,1
1,8,8,1,0,1,0,0,0,1
1,31,13,0,0,0,0,0,0,0
1,4,17,0,0,0,0,0,0,0
1,11,14,0,0,0,0,0,0,0
1,1,19,1,0,0,1,0,1,0
1,91,10,0,0,0,0,0,0,0
1,94,11,0,0,0,0,0,0,0
1,90,12,0,0,0,0,0,0,0
1,21,18,0,0,0,0,0,0,0
1,39,20,1,0,0,1,0,4,0
2,3,1,1,1,0,0,5,0,3
2,6,3,1,1,0,0,3,0,3
2,14,4,1,1,0,0,4,2,3
2,8,15,1,0,1,0,0,0,1
2,17,5,1,1,0,0,3,1,3
2,43,18,1,0,0,1,0,2,0
2,56,2,1,1,0,0,3,0,3
2,11,7,1,1,0,0,2,0,3
2,91,8,1,1,0,0,1,0,3
2,94,9,1,1,0,0,1,0,3
2,90,6,1,1,0,0,2,0,3
2,2,10,1,1,0,0,1,0,3
2,54,13,1,0,1,0,1,1,1
2,31,12,1,0,1,0,1,1,1
2,4,16,1,0,0,1,2,3,0
2,1,17,1,0,0,1,0,1,0
2,7,14,1,0,1,0,0,0,1
2,36,11,1,0,1,0,1,1,1
2,39,20,1,0,0,1,0,4,0
2,21,19,1,0,0,1,1,5,0
3,14,2,2,2,0,0,5,2,6
3,8,3,2,1,1,0,2,0,4
3,3,6,1,1,0,0,5,0,3
3,6,7,2,1,0,1,3,1,3
3,11,9,1,1,0,0,2,0,3
3,56,1,2,2,0,0,5,1,6
3,91,10,1,1,0,0,1,0,3
3,31,14,1,0,1,0,1,1,1
3,1,12,2,1,0,1,3,3,3
3,17,13,2,1,0,1,3,4,3
3,36,4,2,1,1,0,3,2,4
3,2,5,2,1,1,0,1,0,4
3,43,18,1,0,0,1,0,2,0
3,90,8,1,1,0,0,2,0,3
3,94,11,1,1,0,0,1,0,3
3,21,19,1,0,0,1,1,5,0
3,4,17,1,0,0,1,2,3,0
3,54,15,1,0,1,0,1,1,1
3,7,16,2,0,1,1,0,3,1
3,39,20,2,0,0,2,2,7,0
4,14,3,2,2,0,0,5,2,6
4,3,1,2,2,0,0,8,0,6
4,6,11,2,1,0,1,3,1,3
4,91,4,2,2,0,0,3,1,6
4,8,5,2,1,1,0,2,0,4
4,11,6,2,1,1,0,2,0,4
4,56,2,2,2,0,0,5,1,6
4,43,12,2,1,0,1,3,2,3
4,31,17,2,0,2,0,1,1,2
4,4,15,2,1,0,1,3,3,3
4,54,9,2,1,1,0,2,1,4
4,94,7,2,1,1,0,3,2,4
4,36,8,2,1,1,0,3,2,4
4,1,14,2,1,0,1,3,3,3
4,17,16,2,1,0,1,3,4,3
4,2,10,2,1,1,0,1,0,4
4,90,13,2,1,0,1,2,1,3
4,21,20,2,0,0,2,1,8,0
4,7,18,2,0,1,1,0,3,1
4,39,19,2,0,0,2,2,7,0
5,14,1,3,3,0,0,7,3,9
5,3,2,3,2,1,0,9,1,7
5,6,13,2,1,0,1,3,1,3
5,91,5,3,2,1,0,3,1,7
5,31,17,2,0,2,0,1,1,2
5,8,8,2,1,1,0,2,0,4
5,56,3,3,2,1,0,6,2,7
5,54,4,3,2,1,0,5,2,7
5,43,14,2,1,0,1,3,2,3
5,11,9,2,1,1,0,2,0,4
5,1,6,3,2,0,1,5,4,6
5,2,12,2,1,1,0,1,0,4
5,4,15,2,1,0,1,3,3,3
5,36,7,3,1,2,0,5,4,5
5,17,16,2,1,0,1,3,4,3
5,90,11,3,1,1,1,3,2,4
5,94,10,2,1,1,0,3,2,4
5,7,18,2,0,1,1,0,3,1
5,21,20,3,0,0,3,2,10,0
5,39,19,3,0,0,3,3,10,0
6,14,1,3,3,0,0,7,3,9
6,3,2,3,2,1,0,9,1,7
6,31,11,3,1,2,0,3,2,5
6,6,13,3,1,1,1,4,2,4
6,56,3,3,2,1,0,6,2,7
6,91,6,3,2,1,0,3,1,7
6,43,7,3,2,0,1,8,3,6
6,8,15,3,1,1,1,3,3,4
6,11,9,3,1,2,0,3,1,5
6,36,10,3,1,2,0,5,4,5
6,54,5,3,2,1,0,5,2,7
6,2,12,3,1,2,0,3,2,5
6,94,4,3,2,1,0,6,3,7
6,1,8,3,2,0,1,5,4,6
6,4,17,3,1,0,2,4,5,3
6,7,16,3,1,1,1,3,4,4
6,17,18,3,1,0,2,3,5,3
6,90,14,3,1,1,1,3,2,4
6,21,20,3,0,0,3,2,10,0
6,39,19,3,0,0,3,3,10,0
7,3,1,4,3,1,0,11,1,10
7,14,3,3,3,0,0,7,3,9
