round,team_id,pre_rk,all_rk,all_gp,all_w,all_d,all_l,all_gf,all_ga,all_p
1,43,1,1,1,1,0,0,4,0,3
1,56,2,2,1,1,0,0,3,0,3
1,6,3,3,1,1,0,0,3,0,3
1,14,4,4,1,1,0,0,4,2,3
1,17,5,5,1,1,0,0,3,1,3
1,3,6,6,1,1,0,0,1,0,3
1,2,7,7,1,1,0,0,1,0,3
1,36,8,8,1,0,1,0,1,1,1
1,54,9,9,1,0,1,0,1,1,1
1,7,10,10,1,0,1,0,0,0,1
1,8,11,11,1,0,1,0,0,0,1
1,31,12,12,1,0,1,0,0,0,1
1,4,13,13,1,0,1,0,0,0,1
1,11,14,14,1,0,0,1,0,1,0
1,1,15,15,1,0,0,1,0,1,0
1,91,16,16,1,0,0,1,2,4,0
1,94,17,17,1,0,0,1,1,3,0
1,90,18,18,1,0,0,1,0,3,0
1,21,19,19,1,0,0,1,0,3,0
1,39,20,20,1,0,0,1,0,4,0
2,3,6,1,2,2,0,0,6,0,6
2,6,3,2,2,2,0,0,5,0,6
2,14,4,3,2,2,0,0,7,4,6
2,8,11,4,2,1,1,0,5,1,4
2,17,5,5,2,1,1,0,4,2,4
2,43,1,6,2,1,0,1,4,2,3
2,56,2,7,2,1,0,1,3,2,3
2,11,14,8,2,1,0,1,2,1,3
2,91,16,9,2,1,0,1,3,4,3
2,94,17,10,2,1,0,1,2,3,3
2,90,18,11,2,1,0,1,2,3,3
2,2,7,12,2,1,0,1,1,5,3
2,54,9,13,2,0,2,0,2,2,2
2,31,12,14,2,0,2,0,1,1,2
2,4,13,15,2,0,1,1,2,3,1
2,1,15,16,2,0,1,1,1,2,1
2,7,10,17,2,0,1,1,0,1,1
2,36,8,18,2,0,1,1,1,3,1
2,39,20,19,2,0,0,2,0,5,0
2,21,19,20,2,0,0,2,1,8,0
3,14,3,1,3,3,0,0,8,4,9
3,8,4,2,3,2,1,0,7,1,7
3,3,1,3,3,2,0,1,6,1,6
3,6,2,4,3,2,0,1,5,1,6
3,11,8,5,3,2,0,1,5,3,6
3,56,7,6,3,2,0,1,5,3,6
3,91,9,7,3,2,0,1,4,4,6
3,31,14,8,3,1,2,0,4,1,5
3,1,16,9,3,1,1,1,4,4,4
3,17,5,10,3,1,1,1,4,5,4
3,36,18,11,3,1,1,1,3,4,4
3,2,12,12,3,1,1,1,1,5,4
3,43,6,13,3,1,0,2,5,4,3
3,90,11,14,3,1,0,2,4,6,3
3,94,10,15,3,1,0,2,3,5,3
3,21,20,16,3,1,0,2,4,8,3
3,4,15,17,3,0,2,1,2,3,2
3,54,13,18,3,0,2,1,2,4,2
3,7,17,19,3,0,1,2,0,4,1
3,39,19,20,3,0,0,3,2,8,0
4,14,1,1,4,4,0,0,9,4,12
4,3,3,2,4,3,0,1,9,1,9
4,6,4,3,4,3,0,1,8,1,9
4,91,7,4,4,3,0,1,6,5,9
4,8,2,5,4,2,2,0,9,3,8
4,11,5,6,4,2,1,1,5,3,7
4,56,6,7,4,2,1,1,5,3,7
4,43,13,8,4,2,0,2,8,4,6
4,31,8,9,4,1,3,0,4,1,6
4,4,17,10,4,1,2,1,3,3,5
4,54,18,11,4,1,2,1,3,4,5
4,94,15,12,4,1,1,2,5,7,4
4,36,11,13,4,1,1,2,4,6,4
4,1,9,14,4,1,1,2,4,7,4
4,17,10,15,4,1,1,2,4,8,4
4,2,12,16,4,1,1,2,1,6,4
4,90,14,17,4,1,0,3,4,7,3
4,21,16,18,4,1,0,3,4,11,3
4,7,19,19,4,0,2,2,0,4,2
4,39,20,20,4,0,0,4,2,9,0
5,14,1,1,5,5,0,0,11,5,15
5,3,2,2,5,3,1,1,10,2,10
5,6,3,3,5,3,1,1,10,3,10
5,91,4,4,5,3,1,1,6,5,10
5,31,9,5,5,2,3,0,6,2,9
5,8,5,6,5,2,2,1,10,5,8
5,56,7,7,5,2,2,1,6,4,8
5,54,11,8,5,2,2,1,6,5,8
5,43,8,9,5,2,1,2,9,5,7
5,11,6,10,5,2,1,2,6,5,7
5,1,14,11,5,2,1,2,6,8,7
5,2,16,12,5,2,1,2,4,7,7
5,4,10,13,5,1,3,1,3,3,6
5,36,13,14,5,1,2,2,6,8,5
5,17,15,15,5,1,2,2,5,9,5
5,90,17,16,5,1,1,3,5,8,4
5,94,12,17,5,1,1,3,6,10,4
5,7,19,18,5,0,3,2,1,5,3
5,21,18,19,5,1,0,4,5,13,3
5,39,20,20,5,0,0,5,3,12,0
6,14,1,1,6,5,0,1,12,7,15
6,3,2,2,6,4,1,1,12,3,13
6,31,5,3,6,3,3,0,8,3,12
6,6,3,4,6,3,2,1,11,4,11
6,56,7,5,6,3,2,1,7,4,11
6,91,4,6,6,3,2,1,8,7,11
6,43,9,7,6,3,1,2,14,6,10
6,8,6,8,6,2,2,2,11,8,8
6,11,10,9,6,2,2,2,7,6,8
6,36,14,10,6,2,2,2,9,9,8
6,54,8,11,6,2,2,2,7,8,8
6,2,12,12,6,2,2,2,6,9,8
6,94,17,13,6,2,1,3,9,11,7
6,1,11,14,6,2,1,3,7,11,7
6,4,13,15,6,1,3,2,4,5,6
